,Age & BMI,Medications
AHI,False,False
ahi_4_percent,False,False
ahi_central,False,False
ahi_central_during_nrem,False,False
ahi_central_during_rem,False,False
ahi_during_left,False,False
ahi_during_non_supine,False,False
ahi_during_nrem,False,False
ahi_during_prone,False,False
ahi_during_rem,False,False
ahi_during_right,False,False
ahi_during_supine,False,False
ahi_obstructive,False,False
ahi_obstructive_during_nrem,False,False
ahi_obstructive_during_rem,False,False
desaturations_above_20,False,False
desaturations_mean_nadir,False,False
desaturations_of_10_20,False,False
desaturations_of_4_9,False,False
number_of_4_percent_desaturation_apnea_hypopnea_events,False,False
number_of_all_respiratory_events,False,False
number_of_apnea_hypopnea_events,False,False
number_of_central_apnea_hypopnea_events,False,False
number_of_desaturation_events,False,False
number_of_obstructive_apnea_hypopnea_events,False,False
number_of_transitions_nrem_to_rem,False,False
number_of_transitions_nrem_to_wake,False,False
number_of_transitions_rem_to_nrem,False,False
number_of_transitions_rem_to_wake,True,True
number_of_transitions_wake_to_nrem,False,False
number_of_transitions_wake_to_rem,False,True
number_of_wakes,False,False
odi,False,False
odi_during_left,False,False
odi_during_non_supine,False,False
odi_during_nrem,False,False
odi_during_prone,False,False
odi_during_rem,False,False
odi_during_right,False,False
odi_during_supine,False,False
percent_of_deep_sleep_time,False,False
percent_of_left_sleep,False,False
percent_of_light_sleep_time,False,False
percent_of_non_supine_sleep,False,True
percent_of_prone_sleep,False,True
percent_of_rem_sleep_time,False,False
percent_of_right_sleep,False,False
percent_of_sleep_time,False,True
percent_of_supine_sleep,False,True
percent_of_wake_time,False,True
rdi,False,False
rdi_during_left,False,False
rdi_during_non_supine,False,False
rdi_during_nrem,False,False
rdi_during_prone,False,False
rdi_during_rem,False,False
rdi_during_right,False,False
rdi_during_supine,False,False
rem_latency,False,True
saturation_below_80,False,False
saturation_below_85,False,False
saturation_below_90,False,False
saturation_below_or_equal_88,False,False
saturation_max_value,False,False
saturation_mean,False,False
saturation_min_value,False,False
sleep_efficiency,False,False
sleep_latency,False,True
snore_above_40db,False,False
snore_above_45db,False,False
snore_above_50db,False,False
snore_above_60db,False,False
snore_db_mean,False,False
time_to_transition_nrem_to_rem,False,True
time_to_transition_nrem_to_wake,False,True
time_to_transition_rem_to_nrem,False,False
time_to_transition_rem_to_wake,False,False
time_to_transition_wake_to_nrem,False,False
time_to_transition_wake_to_rem,False,False
total_arousal_sleep_time,True,True
total_deep_sleep_time,False,False
total_left_sleep_time,False,False
total_light_sleep_time,False,False
total_non_supine_sleep_time,False,False
total_prone_sleep_time,False,True
total_rem_sleep_time,False,False
total_right_sleep_time,False,False
total_sleep_time,True,True
total_supine_sleep_time,False,True
total_time_in_bed,True,True
total_valid_apnea_central_sleep_time,False,False
total_valid_apnea_sleep_time,False,False
total_wake_time,False,True
total_wake_time_after_sleep_onset,False,True
variability_between_sleep_stage_percents,False,False
